section,item_id,dimension_or_question,description,score_1_to_5,comment_or_response
metadata,M1,专家编号,可匿名填写,,
metadata,M2,专家类型或领域,"例如：智能制造、工业信息化、制造工程、罐区储运运营、信息系统/DSR",,
metadata,M3,是否同意匿名用于论文形成性评价说明,填写是或否,,
metadata,M4,填写日期,填写日期,,
rating,R1,PCIO四层模型合理性,"评价 Perception、Connectivity、Insight、Optimization 四层是否能合理表达智能制造诊断的能力递进关系。",,
rating,R2,题项覆盖性,"评价问卷题项是否覆盖数据采集、系统连接、诊断洞察、优化闭环、组织支持和人工确认等关键方面。",,
rating,R3,风险规则合理性,"评价风险矩阵是否能从 PCIO 短板和场景特征生成可解释、可人工确认的候选风险。",,
rating,R4,KPI建议可执行性,"评价 KPI 建议是否具有清楚口径、可采集数据来源、责任边界和后续复测可操作性。",,
rating,R5,ROI情景表达谨慎性,"评价 ROI 模块是否明确呈现为方案比较和情景估算，而非真实收益实现或绩效验证。",,
rating,R6,报告可理解性,"评价输出报告是否便于非研究人员理解，包括诊断结果、风险、KPI、ROI 情景和 PDCA 计划。",,
rating,R7,流程生产企业适配性,"评价工具是否适合流程生产型企业的批次、设备、质量、过程控制和维护等诊断场景。",,
rating,R8,罐区储运场景适配性,"评价工具是否适合罐区储运运营中的区域、设备、装卸任务、报警趋势和人工确认等诊断场景。",,
rating,R9,证据边界清晰性,"评价门户和论文是否清楚区分自动化测试、合成案例、真实 T0 案例和未来纵向验证。",,
rating,R10,整体实用潜力,"评价该人工制品在进一步专家评审、现场试用和纵向复测后用于组织诊断的潜在价值。",,
open_question,Q1,哪个设计原则最有价值？,请说明最有价值的设计原则及理由,,
open_question,Q2,哪个模块最需要修改？,请指出最需要修改的模块和具体修改方向,,
open_question,Q3,哪些建议必须人工确认？,请列出必须由工程师、管理者或领域专家确认的输出,,
open_question,Q4,用于真实企业前还缺少什么证据？,请说明真实企业试用前仍需补充的证据或程序,,
boundary,B1,真实T0案例边界,我理解当前真实案例仅为 T0 基线诊断，不代表部署后改善,,
boundary,B2,合成案例边界,我理解合成案例仅用于流程测试和规则响应演示,,
boundary,B3,ROI情景边界,我理解 ROI 模块为情景估算工具，不代表真实收益验证,,
